Show,EpId,ClipId,Start,Stop,Start_5_sec,Stop_5_sec,is_probably_host,speaker,clip_silhouette_score,SEP12k,SEP28k-E,SEP28k-T,SEP28k-D,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech
HeStutters,0,0,31900320,31948320,31884320,31964320,TRUE,Pamela Mertz,0.5658465624,,train,test,test,0,0,0,0,0,0,0,0,3,1,0,0
HeStutters,0,1,31977120,32025120,31961120,32041120,TRUE,Pamela Mertz,0.4402983189,,train,test,test,0,0,0,0,0,0,0,0,3,1,0,0
HeStutters,0,2,34809760,34857760,34793760,34873760,TRUE,Pamela Mertz,0.5239596963,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,3,35200640,35248640,35184640,35264640,TRUE,Pamela Mertz,0.3778924942,,train,test,test,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,4,35721920,35769920,35705920,35785920,TRUE,Pamela Mertz,0.5536426902,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,5,36435040,36483040,36419040,36499040,TRUE,Pamela Mertz,0.5078305602,,train,test,test,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,6,37251200,37299200,37235200,37315200,TRUE,Pamela Mertz,0.5870608091,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,7,37784640,37832640,37768640,37848640,TRUE,Pamela Mertz,0.4836141169,,train,test,test,0,0,0,0,0,0,0,0,3,2,0,0
HeStutters,0,8,37963520,38011520,37947520,38027520,TRUE,Pamela Mertz,0.2753463984,,train,test,test,0,0,0,0,0,0,0,0,3,2,0,0
HeStutters,0,9,41417440,41465440,41401440,41481440,TRUE,Pamela Mertz,0.5054553151,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,10,41861760,41909760,41845760,41925760,TRUE,Pamela Mertz,0.3163560629,,train,test,test,0,0,0,0,0,0,0,1,3,0,0,0
HeStutters,0,11,42928800,42976800,42912800,42992800,FALSE,HeStutters_0_1,0.6412271857,train,test,train,dev,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,12,43139360,43187360,43123360,43203360,TRUE,Pamela Mertz,0.42050156,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,13,46154240,46202240,46138240,46218240,TRUE,Pamela Mertz,0.4609233737,,train,test,test,0,0,0,0,0,1,0,1,2,0,0,0
HeStutters,0,14,49133440,49181440,49117440,49197440,TRUE,Pamela Mertz,0.5687756538,,train,test,test,0,0,0,1,0,0,0,0,2,0,0,0
HeStutters,0,15,49411840,49459840,49395840,49475840,TRUE,Pamela Mertz,0.443225652,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,16,51492320,51540320,51476320,51556320,TRUE,Pamela Mertz,0.5327112079,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,17,6970880,7018880,6954880,7034880,TRUE,Pamela Mertz,0.5791712403,,train,test,test,0,0,0,0,0,0,0,0,3,1,0,0
HeStutters,0,18,8215200,8263200,8199200,8279200,TRUE,Pamela Mertz,0.4415773451,,train,test,test,0,0,0,1,0,0,0,0,2,1,0,0
HeStutters,0,19,9985280,10033280,9969280,10049280,TRUE,Pamela Mertz,0.6078404188,,train,test,test,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,20,11197600,11245600,11181600,11261600,TRUE,Pamela Mertz,0.5005838275,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,21,12275840,12323840,12259840,12339840,TRUE,Pamela Mertz,0.5151429176,,train,test,test,0,0,0,0,0,0,1,0,3,0,0,0
HeStutters,0,22,12315840,12363840,12299840,12379840,TRUE,Pamela Mertz,0.5969139338,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,23,12567200,12615200,12551200,12631200,TRUE,Pamela Mertz,0.5840846896,,train,test,test,0,0,0,0,0,0,1,0,3,0,0,0
HeStutters,0,24,15001760,15049760,14985760,15065760,TRUE,Pamela Mertz,0.4379892051,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,25,16317280,16365280,16301280,16381280,TRUE,Pamela Mertz,0.5959277153,,train,test,test,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,26,3562240,3610240,3546240,3626240,FALSE,HeStutters_0_1,0.6165656447,train,test,train,dev,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,27,18732320,18780320,18716320,18796320,FALSE,HeStutters_0_1,0.5806368589,train,test,train,dev,0,0,0,1,3,1,0,1,0,0,0,0
HeStutters,0,28,18902240,18950240,18886240,18966240,TRUE,Pamela Mertz,0.3546248972,,train,test,test,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,29,19004000,19052000,18988000,19068000,FALSE,HeStutters_0_1,0.1481858045,train,test,train,dev,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,30,19927520,19975520,19911520,19991520,FALSE,HeStutters_0_1,0.2468860149,train,test,train,dev,0,1,0,0,0,0,2,0,3,0,0,0
HeStutters,0,31,21092480,21140480,21076480,21156480,TRUE,Pamela Mertz,0.4854939282,,train,test,test,0,0,1,0,0,0,0,0,2,0,0,0
HeStutters,0,32,21147520,21195520,21131520,21211520,TRUE,Pamela Mertz,0.5565785766,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,33,25293440,25341440,25277440,25357440,TRUE,Pamela Mertz,0.4763345718,,train,test,test,0,0,2,1,0,0,0,0,1,0,0,0
HeStutters,0,34,25822720,25870720,25806720,25886720,TRUE,Pamela Mertz,0.3888625503,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
HeStutters,0,35,26746400,26794400,26730400,26810400,TRUE,Pamela Mertz,0.420786947,,train,test,test,0,0,0,0,0,0,0,0,3,0,0,0
