Show,EpId,ClipId,Start,Stop,Start_5_sec,Stop_5_sec,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech
FluencyBank,10,0,88960,136960,-71040,152960,0,0,0,1,0,0,0,0,2,0,0,0
FluencyBank,10,1,1271520,1319520,1111520,1335520,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,2,1813760,1861760,1653760,1877760,0,0,1,0,0,0,0,0,2,0,0,0
FluencyBank,10,3,1842720,1890720,1682720,1906720,0,0,1,0,0,0,0,0,2,1,0,0
FluencyBank,10,4,1893280,1941280,1733280,1957280,0,0,0,0,0,3,0,0,0,0,0,0
FluencyBank,10,5,1919520,1967520,1759520,1983520,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,6,1982720,2030720,1822720,2046720,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,7,2005600,2053600,1845600,2069600,0,0,0,0,0,1,0,0,2,1,0,0
FluencyBank,10,8,2047520,2095520,1887520,2111520,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,9,2070400,2118400,1910400,2134400,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,10,2112480,2160480,1952480,2176480,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,11,2467360,2515360,2307360,2531360,0,0,1,0,0,0,0,0,2,0,0,0
FluencyBank,10,12,2490720,2538720,2330720,2554720,0,0,0,0,0,1,0,0,2,1,0,0
FluencyBank,10,13,2801440,2849440,2641440,2865440,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,14,2826880,2874880,2666880,2890880,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,15,2977440,3025440,2817440,3041440,0,0,1,0,0,0,0,0,2,0,0,0
FluencyBank,10,16,3001120,3049120,2841120,3065120,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,17,3112320,3160320,2952320,3176320,0,0,0,1,0,0,0,2,2,0,0,0
FluencyBank,10,18,3139200,3187200,2979200,3203200,0,0,0,0,0,0,1,2,3,0,0,0
FluencyBank,10,19,133760,181760,-26240,197760,0,0,0,1,0,0,0,2,2,0,0,0
FluencyBank,10,20,166720,214720,6720,230720,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,21,3192160,3240160,3032160,3256160,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,22,3218240,3266240,3058240,3282240,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,23,3441760,3489760,3281760,3505760,0,0,0,0,0,0,0,0,3,2,0,0
FluencyBank,10,24,3467200,3515200,3307200,3531200,0,0,0,0,0,1,0,0,2,0,0,0
FluencyBank,10,25,3524480,3572480,3364480,3588480,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,26,3548320,3596320,3388320,3612320,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,27,4081920,4129920,3921920,4145920,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,28,4104960,4152960,3944960,4168960,0,0,0,1,1,0,0,0,1,0,0,0
FluencyBank,10,29,4174720,4222720,4014720,4238720,0,0,0,0,1,0,0,0,2,1,0,0
FluencyBank,10,30,4200640,4248640,4040640,4264640,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,31,4258400,4306400,4098400,4322400,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,32,4285600,4333600,4125600,4349600,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,33,4455200,4503200,4295200,4519200,0,0,0,1,0,0,0,0,2,0,0,0
FluencyBank,10,34,4480160,4528160,4320160,4544160,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,35,4624640,4672640,4464640,4688640,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,36,4647680,4695680,4487680,4711680,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,37,4706240,4754240,4546240,4770240,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,38,4761600,4809600,4601600,4825600,0,0,1,2,0,0,0,0,0,0,0,0
FluencyBank,10,39,4806720,4854720,4646720,4870720,0,0,0,1,0,0,0,0,2,1,0,0
FluencyBank,10,40,298720,346720,138720,362720,0,0,0,0,0,0,0,3,3,1,0,0
FluencyBank,10,41,324480,372480,164480,388480,0,0,0,0,0,0,0,3,3,0,0,0
FluencyBank,10,42,5355520,5403520,5195520,5419520,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,43,5381120,5429120,5221120,5445120,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,44,5399520,5447520,5239520,5463520,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,45,5485280,5533280,5325280,5549280,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,46,5509120,5557120,5349120,5573120,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,47,5601600,5649600,5441600,5665600,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,48,5625120,5673120,5465120,5689120,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,49,5997600,6045600,5837600,6061600,0,0,0,0,0,0,0,3,3,1,0,0
FluencyBank,10,50,6021440,6069440,5861440,6085440,0,0,0,0,0,0,0,3,3,0,0,0
FluencyBank,10,51,6246240,6294240,6086240,6310240,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,52,6296320,6344320,6136320,6360320,0,0,1,0,0,0,0,0,2,0,0,0
FluencyBank,10,53,6399360,6447360,6239360,6463360,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,54,6435200,6483200,6275200,6499200,0,0,1,0,0,0,0,0,2,1,0,0
FluencyBank,10,55,6480480,6528480,6320480,6544480,0,0,0,0,0,1,0,0,2,1,0,0
FluencyBank,10,56,6536160,6584160,6376160,6600160,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,57,6565440,6613440,6405440,6629440,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,58,6614560,6662560,6454560,6678560,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,59,363520,411520,203520,427520,0,0,0,1,0,0,0,0,2,0,0,0
FluencyBank,10,60,387040,435040,227040,451040,0,0,0,0,0,0,0,1,3,0,0,0
FluencyBank,10,61,6648320,6696320,6488320,6712320,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,62,6831520,6879520,6671520,6895520,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,63,6858880,6906880,6698880,6922880,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,64,6933920,6981920,6773920,6997920,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,65,6993440,7041440,6833440,7057440,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,66,7017760,7065760,6857760,7081760,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,67,7055520,7103520,6895520,7119520,0,0,0,0,0,0,1,0,3,0,0,0
FluencyBank,10,68,7250720,7298720,7090720,7314720,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,69,7274720,7322720,7114720,7338720,0,0,0,1,0,0,0,0,2,0,0,0
FluencyBank,10,70,7367200,7415200,7207200,7431200,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,71,7394400,7442400,7234400,7458400,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,72,7507040,7555040,7347040,7571040,0,0,0,0,0,0,1,0,3,1,0,0
FluencyBank,10,73,7530560,7578560,7370560,7594560,0,0,0,0,0,0,0,1,3,1,0,0
FluencyBank,10,74,7576640,7624640,7416640,7640640,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,75,7599520,7647520,7439520,7663520,0,0,0,3,0,1,0,0,0,0,0,0
FluencyBank,10,76,7843360,7891360,7683360,7907360,0,0,0,1,0,0,0,0,2,0,0,0
FluencyBank,10,77,7867360,7915360,7707360,7931360,0,0,0,1,0,0,0,0,2,0,0,0
FluencyBank,10,78,456320,504320,296320,520320,0,0,1,0,0,0,0,3,2,0,0,0
FluencyBank,10,79,483360,531360,323360,547360,0,0,0,1,0,3,0,3,0,0,0,0
FluencyBank,10,80,7942720,7990720,7782720,8006720,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,81,7972480,8020480,7812480,8036480,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,82,8044960,8092960,7884960,8108960,0,0,0,1,1,2,0,0,0,1,0,0
FluencyBank,10,83,8083040,8131040,7923040,8147040,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,84,8117600,8165600,7957600,8181600,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,85,8266560,8314560,8106560,8330560,0,0,0,0,0,0,0,2,3,1,0,0
FluencyBank,10,86,8293760,8341760,8133760,8357760,0,0,0,0,0,0,0,3,3,0,0,0
FluencyBank,10,87,8342240,8390240,8182240,8406240,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,88,8420480,8468480,8260480,8484480,0,0,0,0,0,0,0,0,3,2,0,0
FluencyBank,10,89,8443200,8491200,8283200,8507200,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,90,8472000,8520000,8312000,8536000,0,0,0,0,0,1,0,0,2,1,0,0
FluencyBank,10,91,640960,688960,480960,704960,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,92,664640,712640,504640,728640,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,93,704640,752640,544640,768640,0,0,1,0,0,0,0,0,2,0,0,0
FluencyBank,10,94,728160,776160,568160,792160,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,95,753600,801600,593600,817600,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,96,870880,918880,710880,934880,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,97,893440,941440,733440,957440,0,0,0,0,0,2,0,0,1,0,0,0
FluencyBank,10,98,1135520,1183520,975520,1199520,0,0,0,1,0,0,0,0,2,1,0,0
FluencyBank,10,99,1164160,1212160,1004160,1228160,0,0,0,1,0,0,0,0,2,0,0,0
FluencyBank,16,0,160,48160,-159840,64160,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,16,1,1025120,1073120,865120,1089120,0,0,1,0,0,0,0,0,2,0,0,0
FluencyBank,16,2,1082560,1130560,922560,1146560,0,0,0,0,0,0,0,2,3,1,0,0
