Show,EpId,ClipId,Start,Stop,Start_5_sec,Stop_5_sec,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech
FluencyBank,10,0,88960,136960,72960,152960,0,0,0,1,0,0,0,0,2,0,0,0
FluencyBank,10,1,1271520,1319520,1255520,1335520,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,2,1813760,1861760,1797760,1877760,0,0,1,0,0,0,0,0,2,0,0,0
FluencyBank,10,3,1842720,1890720,1826720,1906720,0,0,1,0,0,0,0,0,2,1,0,0
FluencyBank,10,4,1893280,1941280,1877280,1957280,0,0,0,0,0,3,0,0,0,0,0,0
FluencyBank,10,5,1919520,1967520,1903520,1983520,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,6,1982720,2030720,1966720,2046720,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,7,2005600,2053600,1989600,2069600,0,0,0,0,0,1,0,0,2,1,0,0
FluencyBank,10,8,2047520,2095520,2031520,2111520,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,9,2070400,2118400,2054400,2134400,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,10,2112480,2160480,2096480,2176480,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,11,2467360,2515360,2451360,2531360,0,0,1,0,0,0,0,0,2,0,0,0
FluencyBank,10,12,2490720,2538720,2474720,2554720,0,0,0,0,0,1,0,0,2,1,0,0
FluencyBank,10,13,2801440,2849440,2785440,2865440,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,14,2826880,2874880,2810880,2890880,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,15,2977440,3025440,2961440,3041440,0,0,1,0,0,0,0,0,2,0,0,0
FluencyBank,10,16,3001120,3049120,2985120,3065120,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,17,3112320,3160320,3096320,3176320,0,0,0,1,0,0,0,2,2,0,0,0
FluencyBank,10,18,3139200,3187200,3123200,3203200,0,0,0,0,0,0,1,2,3,0,0,0
FluencyBank,10,19,133760,181760,117760,197760,0,0,0,1,0,0,0,2,2,0,0,0
FluencyBank,10,20,166720,214720,150720,230720,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,21,3192160,3240160,3176160,3256160,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,22,3218240,3266240,3202240,3282240,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,23,3441760,3489760,3425760,3505760,0,0,0,0,0,0,0,0,3,2,0,0
FluencyBank,10,24,3467200,3515200,3451200,3531200,0,0,0,0,0,1,0,0,2,0,0,0
FluencyBank,10,25,3524480,3572480,3508480,3588480,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,26,3548320,3596320,3532320,3612320,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,27,4081920,4129920,4065920,4145920,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,28,4104960,4152960,4088960,4168960,0,0,0,1,1,0,0,0,1,0,0,0
FluencyBank,10,29,4174720,4222720,4158720,4238720,0,0,0,0,1,0,0,0,2,1,0,0
FluencyBank,10,30,4200640,4248640,4184640,4264640,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,31,4258400,4306400,4242400,4322400,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,32,4285600,4333600,4269600,4349600,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,33,4455200,4503200,4439200,4519200,0,0,0,1,0,0,0,0,2,0,0,0
FluencyBank,10,34,4480160,4528160,4464160,4544160,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,35,4624640,4672640,4608640,4688640,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,36,4647680,4695680,4631680,4711680,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,37,4706240,4754240,4690240,4770240,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,38,4761600,4809600,4745600,4825600,0,0,1,2,0,0,0,0,0,0,0,0
FluencyBank,10,39,4806720,4854720,4790720,4870720,0,0,0,1,0,0,0,0,2,1,0,0
FluencyBank,10,40,298720,346720,282720,362720,0,0,0,0,0,0,0,3,3,1,0,0
FluencyBank,10,41,324480,372480,308480,388480,0,0,0,0,0,0,0,3,3,0,0,0
FluencyBank,10,42,5355520,5403520,5339520,5419520,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,43,5381120,5429120,5365120,5445120,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,44,5399520,5447520,5383520,5463520,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,45,5485280,5533280,5469280,5549280,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,46,5509120,5557120,5493120,5573120,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,47,5601600,5649600,5585600,5665600,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,48,5625120,5673120,5609120,5689120,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,49,5997600,6045600,5981600,6061600,0,0,0,0,0,0,0,3,3,1,0,0
FluencyBank,10,50,6021440,6069440,6005440,6085440,0,0,0,0,0,0,0,3,3,0,0,0
FluencyBank,10,51,6246240,6294240,6230240,6310240,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,52,6296320,6344320,6280320,6360320,0,0,1,0,0,0,0,0,2,0,0,0
FluencyBank,10,53,6399360,6447360,6383360,6463360,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,54,6435200,6483200,6419200,6499200,0,0,1,0,0,0,0,0,2,1,0,0
FluencyBank,10,55,6480480,6528480,6464480,6544480,0,0,0,0,0,1,0,0,2,1,0,0
FluencyBank,10,56,6536160,6584160,6520160,6600160,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,57,6565440,6613440,6549440,6629440,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,58,6614560,6662560,6598560,6678560,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,59,363520,411520,347520,427520,0,0,0,1,0,0,0,0,2,0,0,0
FluencyBank,10,60,387040,435040,371040,451040,0,0,0,0,0,0,0,1,3,0,0,0
FluencyBank,10,61,6648320,6696320,6632320,6712320,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,62,6831520,6879520,6815520,6895520,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,63,6858880,6906880,6842880,6922880,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,64,6933920,6981920,6917920,6997920,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,65,6993440,7041440,6977440,7057440,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,66,7017760,7065760,7001760,7081760,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,67,7055520,7103520,7039520,7119520,0,0,0,0,0,0,1,0,3,0,0,0
FluencyBank,10,68,7250720,7298720,7234720,7314720,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,69,7274720,7322720,7258720,7338720,0,0,0,1,0,0,0,0,2,0,0,0
FluencyBank,10,70,7367200,7415200,7351200,7431200,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,71,7394400,7442400,7378400,7458400,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,72,7507040,7555040,7491040,7571040,0,0,0,0,0,0,1,0,3,1,0,0
FluencyBank,10,73,7530560,7578560,7514560,7594560,0,0,0,0,0,0,0,1,3,1,0,0
FluencyBank,10,74,7576640,7624640,7560640,7640640,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,75,7599520,7647520,7583520,7663520,0,0,0,3,0,1,0,0,0,0,0,0
FluencyBank,10,76,7843360,7891360,7827360,7907360,0,0,0,1,0,0,0,0,2,0,0,0
FluencyBank,10,77,7867360,7915360,7851360,7931360,0,0,0,1,0,0,0,0,2,0,0,0
FluencyBank,10,78,456320,504320,440320,520320,0,0,1,0,0,0,0,3,2,0,0,0
FluencyBank,10,79,483360,531360,467360,547360,0,0,0,1,0,3,0,3,0,0,0,0
FluencyBank,10,80,7942720,7990720,7926720,8006720,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,81,7972480,8020480,7956480,8036480,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,82,8044960,8092960,8028960,8108960,0,0,0,1,1,2,0,0,0,1,0,0
FluencyBank,10,83,8083040,8131040,8067040,8147040,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,84,8117600,8165600,8101600,8181600,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,85,8266560,8314560,8250560,8330560,0,0,0,0,0,0,0,2,3,1,0,0
FluencyBank,10,86,8293760,8341760,8277760,8357760,0,0,0,0,0,0,0,3,3,0,0,0
FluencyBank,10,87,8342240,8390240,8326240,8406240,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,88,8420480,8468480,8404480,8484480,0,0,0,0,0,0,0,0,3,2,0,0
FluencyBank,10,89,8443200,8491200,8427200,8507200,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,90,8472000,8520000,8456000,8536000,0,0,0,0,0,1,0,0,2,1,0,0
FluencyBank,10,91,640960,688960,624960,704960,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,92,664640,712640,648640,728640,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,93,704640,752640,688640,768640,0,0,1,0,0,0,0,0,2,0,0,0
FluencyBank,10,94,728160,776160,712160,792160,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,10,95,753600,801600,737600,817600,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,96,870880,918880,854880,934880,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,10,97,893440,941440,877440,957440,0,0,0,0,0,2,0,0,1,0,0,0
FluencyBank,10,98,1135520,1183520,1119520,1199520,0,0,0,1,0,0,0,0,2,1,0,0
FluencyBank,10,99,1164160,1212160,1148160,1228160,0,0,0,1,0,0,0,0,2,0,0,0
FluencyBank,16,0,160,48160,-15840,64160,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,16,1,1025120,1073120,1009120,1089120,0,0,1,0,0,0,0,0,2,0,0,0
FluencyBank,16,2,1082560,1130560,1066560,1146560,0,0,0,0,0,0,0,2,3,1,0,0
FluencyBank,16,3,1108640,1156640,1092640,1172640,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,16,4,1372800,1420800,1356800,1436800,0,0,0,1,0,0,0,0,2,1,0,0
FluencyBank,16,5,1401600,1449600,1385600,1465600,1,0,1,1,0,0,0,0,1,1,0,0
FluencyBank,16,6,1475200,1523200,1459200,1539200,0,0,0,1,1,0,0,1,1,0,0,0
FluencyBank,16,7,1510720,1558720,1494720,1574720,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,16,8,1572160,1620160,1556160,1636160,0,0,0,0,0,0,0,3,3,1,0,0
FluencyBank,16,9,1594880,1642880,1578880,1658880,0,0,0,0,0,0,0,2,3,1,0,0
FluencyBank,16,10,1625760,1673760,1609760,1689760,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,16,11,1746720,1794720,1730720,1810720,0,0,0,0,0,0,0,0,3,1,0,0
FluencyBank,16,12,1770880,1818880,1754880,1834880,0,0,0,1,1,1,0,0,0,1,0,0
FluencyBank,16,13,1831680,1879680,1815680,1895680,0,0,3,0,0,0,0,0,0,0,0,0
FluencyBank,16,14,1861920,1909920,1845920,1925920,0,0,0,1,0,0,0,0,2,1,0,0
FluencyBank,16,15,1944640,1992640,1928640,2008640,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,16,16,1988000,2036000,1972000,2052000,0,0,1,0,0,0,0,0,2,0,0,0
FluencyBank,16,17,48640,96640,32640,112640,0,0,1,2,1,0,0,0,0,0,0,0
FluencyBank,16,18,77120,125120,61120,141120,0,0,0,1,1,0,0,0,2,0,0,0
FluencyBank,16,19,2038400,2086400,2022400,2102400,0,0,0,0,0,0,0,0,3,0,0,0
FluencyBank,16,20,2099040,2147040,2083040,2163040,0,0,0,1,1,0,0,1,1,0,0,0
FluencyBank,16,21,2121440,2169440,2105440,2185440,0,0,0,0,0,0,0,1,3,0,0,0
FluencyBank,16,22,2167040,2215040,2151040,2231040,0,0,2,0,0,0,0,1,1,1,0,0
